order_id,customer_id,order_date,amount,status
O0137,C461,2024-10-10,921.41,pending
O0138,C432,2024-02-25,531.56,shipped
O0139,C226,2024-12-26,563.03,completed
O0140,C173,2024-09-06,370.11,completed
O0141,C113,2024-03-28,806.19,cancelled
O0142,C142,2024-09-22,798.97,cancelled
O0143,C210,2024-10-06,71.09,cancelled
O0144,C481,2024-04-03,470.15,pending
O0145,C339,2024-12-28,968.56,completed
O0146,C103,2024-09-06,227.44,completed
O0147,C398,2024-11-23,399.27,cancelled
O0148,C164,2024-01-25,926.39,processing
O0149,C232,2024-11-13,515.97,pending
O0150,C138,2024-11-04,703.02,completed
O0151,C131,2024-06-12,611.94,cancelled
O0152,C294,2024-03-06,57.77,completed
O0153,C112,2024-09-05,192.81,shipped
O0154,C223,2024-10-01,104.09,shipped
O0155,C351,2024-07-01,983.94,completed
O0156,C337,2024-12-02,534.03,pending
O0157,C379,2024-02-18,810.28,processing
O0158,C230,2024-10-20,620.88,pending
O0159,C358,2024-08-06,809.92,completed
O0160,C394,2024-07-08,431.94,completed
O0161,C267,2024-04-13,312.42,completed
O0162,C475,2024-01-04,376.15,shipped
O0163,C351,2024-12-04,144.12,cancelled
O0164,C442,2024-01-06,512.11,completed
O0165,C150,2024-03-06,189.03,processing
O0166,C333,2024-12-14,573.84,processing
O0167,C464,2024-06-13,609.33,cancelled
O0168,C133,2024-07-07,424.21,shipped
O0169,C453,2024-08-25,413.03,cancelled
O0170,C107,2024-11-17,609.52,processing
O0171,C195,2024-08-13,628.27,completed
O0172,C119,2024-05-03,882.67,pending
O0173,C315,2024-04-13,898.48,processing
O0174,C231,2024-12-06,208.76,processing
O0175,C450,2024-01-05,266.77,cancelled
O0176,C241,2024-02-03,409.26,completed
O0177,C173,2024-01-09,880.0,pending
O0178,C437,2024-10-22,24.26,processing
O0179,C350,2024-04-21,658.08,completed
O0180,C500,2024-04-25,625.64,processing
O0181,C486,2024-09-03,23.75,processing
O0182,C188,2024-07-02,638.38,cancelled
O0183,C184,2024-12-16,579.32,processing
O0184,C448,2024-01-31,745.99,completed
O0185,C313,2024-09-09,772.41,processing
O0186,C419,2024-04-24,770.98,pending
O0187,C151,2024-07-06,65.93,shipped
O0188,C350,2024-10-05,915.02,shipped
O0189,C233,2024-11-28,289.12,pending
O0190,C115,2024-06-27,776.73,cancelled
O0191,C397,2024-07-15,465.52,processing
O0192,C234,2024-12-09,270.04,shipped
O0193,C329,2024-11-02,790.57,shipped
O0194,C324,2024-11-05,979.43,shipped
O0195,C464,2024-01-24,336.68,cancelled
O0196,C386,2024-10-14,146.85,shipped
O0197,C312,2024-01-26,976.89,pending
O0198,C292,2024-09-03,642.95,shipped
O0199,C168,2024-02-05,237.09,shipped
O0200,C169,2024-08-24,610.3,processing
O0201,C153,2024-03-21,869.42,cancelled
O0202,C231,2024-11-21,544.2,pending
O0203,C171,2024-11-06,558.97,cancelled
O0204,C405,2024-04-04,408.86,processing
O0205,C361,2024-12-12,638.92,completed
O0206,C369,2024-04-20,975.33,pending
O0207,C332,2024-07-28,297.9,processing
O0208,C442,2024-11-06,22.0,shipped
O0209,C346,2024-05-23,617.02,shipped
O0210,C123,2024-05-10,358.15,cancelled
O0211,C239,2024-11-05,355.08,cancelled
O0212,C101,2024-03-28,363.87,cancelled
O0213,C393,2024-08-27,789.05,cancelled
O0214,C213,2024-10-21,163.14,pending
O0215,C316,2024-02-14,545.88,processing
O0216,C220,2024-11-03,52.26,cancelled
O0217,C407,2024-04-12,840.6,pending
O0218,C216,2024-01-16,159.57,pending
O0219,C423,2024-03-21,95.12,pending
O0220,C135,2024-02-22,145.53,completed
O0221,C269,2024-11-28,126.56,shipped
O0222,C344,2024-02-23,260.67,shipped
O0223,C230,2024-11-05,384.13,cancelled
O0224,C411,2024-02-15,249.18,cancelled
O0225,C187,2024-03-06,11.56,pending
O0226,C122,2024-05-18,536.49,shipped
O0227,C134,2024-04-27,560.96,pending
O0228,C215,2024-04-10,736.83,completed
O0229,C112,2024-03-09,475.85,cancelled
O0230,C268,2024-02-16,965.74,completed
O0231,C306,2024-06-04,270.98,shipped
O0232,C266,2024-10-07,989.8,cancelled
O0233,C462,2024-01-19,360.46,pending
O0234,C147,2024-08-10,560.28,cancelled
O0235,C227,2024-12-12,305.88,completed
O0236,C127,2024-09-19,188.59,completed
O0237,C196,2024-03-20,618.53,cancelled
O0238,C473,2024-04-24,585.56,cancelled
O0239,C481,2024-05-28,722.76,cancelled
O0240,C364,2024-12-26,691.96,pending
O0241,C444,2024-02-13,783.28,processing
O0242,C182,2024-01-22,439.23,pending
O0243,C334,2024-04-25,743.41,cancelled
O0244,C251,2024-08-15,521.19,shipped
O0245,C442,2024-12-18,53.74,cancelled
O0246,C111,2024-06-20,458.87,pending
O0247,C163,2024-07-01,865.72,pending
O0248,C310,2024-02-05,688.04,shipped
O0249,C277,2024-01-17,929.99,completed
O0250,C127,2024-01-12,231.41,cancelled
O0251,C186,2024-08-22,105.85,processing
O0252,C298,2024-07-04,191.53,shipped
O0253,C273,2024-06-22,534.79,cancelled
O0254,C301,2024-07-21,226.07,shipped
O0255,C380,2024-06-21,374.64,processing
O0256,C293,2024-12-03,441.59,cancelled
O0257,C180,2024-05-09,718.66,pending
O0258,C418,2024-02-19,210.15,processing
O0259,C218,2024-12-29,239.93,completed
O0260,C496,2024-03-16,503.65,processing
O0261,C413,2024-05-22,141.59,shipped
O0262,C386,2024-08-23,393.24,pending
O0263,C470,2024-11-16,420.03,processing
O0264,C432,2024-05-02,938.71,completed
O0265,C318,2024-06-26,886.26,shipped
O0266,C380,2024-10-30,161.68,processing
O0267,C364,2024-09-10,269.32,shipped
O0268,C235,2024-06-20,593.56,processing
O0269,C141,2024-03-29,380.04,cancelled
O0270,C253,2024-10-02,428.68,pending
O0271,C130,2024-11-30,934.05,completed
O0272,C375,2024-09-02,137.94,completed
O0273,C139,2024-10-26,384.37,pending
O0274,C134,2024-04-10,59.47,cancelled
O0275,C388,2024-12-25,23.75,shipped
O0276,C206,2024-06-19,862.39,pending
O0277,C482,2024-03-07,709.71,shipped
O0278,C368,2024-12-02,785.84,pending
O0279,C480,2024-09-27,206.77,completed
O0280,C312,2024-12-08,592.38,completed
O0281,C227,2024-09-23,20.92,shipped
O0282,C171,2024-11-11,641.22,completed
O0283,C170,2024-12-02,364.29,completed
O0284,C467,2024-09-12,509.26,shipped
O0285,C320,2024-11-24,840.13,processing
O0286,C184,2024-05-18,111.03,pending
O0287,C405,2024-02-07,662.41,cancelled
O0288,C267,2024-06-30,219.5,cancelled
O0289,C428,2024-09-09,917.97,cancelled
O0290,C285,2024-12-20,703.35,pending
O0291,C250,2024-11-01,196.69,cancelled
O0292,C276,2024-10-15,817.24,completed
O0293,C397,2024-12-06,934.04,processing
O0294,C288,2024-05-26,850.78,pending
O0295,C330,2024-07-25,122.31,cancelled
O0296,C400,2024-07-09,759.07,pending
O0297,C127,2024-08-26,13.74,processing
O0298,C426,2024-05-13,637.32,shipped
O0299,C328,2024-08-28,218.69,completed
O0300,C475,2024-10-29,199.43,shipped
O0301,C220,2024-01-20,46.22,shipped
O0302,C491,2024-05-05,666.33,shipped
O0303,C447,2024-11-04,636.22,shipped
O0304,C225,2024-02-22,915.23,cancelled
O0305,C137,2024-04-11,990.25,processing
O0306,C118,2024-09-04,357.39,completed
O0307,C144,2024-11-15,797.01,completed
O0308,C354,2024-12-26,580.57,shipped
O0309,C409,2024-05-26,529.42,completed
O0310,C362,2024-11-06,948.95,processing
O0311,C212,2024-02-06,321.53,cancelled
O0312,C109,2024-02-29,477.15,shipped
O0313,C362,2024-01-17,109.16,shipped
O0314,C150,2024-09-24,991.19,processing
O0315,C216,2024-10-31,475.79,completed
O0316,C411,2024-04-12,381.89,pending
O0317,C124,2024-10-11,110.15,processing
O0318,C180,2024-08-24,923.22,shipped
O0319,C135,2024-12-05,907.02,shipped
O0320,C330,2024-06-29,947.5,completed
O0321,C310,2024-05-15,212.48,cancelled
O0322,C438,2024-02-19,331.88,pending
O0323,C361,2024-06-30,59.83,cancelled
O0324,C149,2024-05-26,699.3,completed
O0325,C300,2024-10-23,820.81,pending
O0326,C180,2024-01-27,50.51,shipped
O0327,C476,2024-11-14,975.88,shipped
O0328,C189,2024-12-09,52.87,cancelled
O0329,C397,2024-07-26,302.59,shipped
O0330,C402,2024-11-10,547.31,shipped
O0331,C330,2024-07-21,661.6,processing
O0332,C357,2024-12-29,575.79,pending
O0333,C260,2024-06-21,823.65,shipped
O0334,C176,2024-09-13,577.92,shipped
O0335,C371,2024-07-30,718.59,cancelled
O0336,C263,2024-02-13,883.84,processing
O0337,C390,2024-07-25,618.63,completed
O0338,C240,2024-09-11,258.5,completed
O0339,C313,2024-07-27,379.41,cancelled
O0340,C358,2024-08-25,120.77,shipped
O0341,C168,2024-07-28,388.0,shipped
O0342,C418,2024-05-14,340.02,processing
O0343,C244,2024-06-28,15.93,completed
O0344,C213,2024-10-29,369.94,pending
O0345,C186,2024-07-22,762.54,pending
O0346,C346,2024-02-13,633.57,cancelled
O0347,C459,2024-05-29,513.22,completed
O0348,C130,2024-03-15,675.23,processing
O0349,C200,2024-07-01,916.93,processing
O0350,C170,2024-10-30,954.6,cancelled
O0351,C265,2024-12-16,357.4,pending
O0352,C479,2024-10-20,850.67,cancelled
O0353,C418,2024-05-13,877.03,processing
O0354,C349,2024-11-02,761.27,cancelled
O0355,C425,2024-06-25,647.51,shipped
O0356,C345,2024-11-25,182.31,completed
O0357,C479,2024-01-23,934.57,pending
O0358,C361,2024-08-09,496.28,pending
O0359,C138,2024-12-17,924.25,shipped
O0360,C480,2024-11-06,632.46,shipped
O0361,C178,2024-10-31,532.44,pending
O0362,C229,2024-06-01,770.96,cancelled
O0363,C126,2024-08-01,946.71,pending
O0364,C279,2024-01-14,700.57,shipped
O0365,C419,2024-04-08,627.45,cancelled
O0366,C459,2024-06-22,687.64,cancelled
O0367,C190,2024-02-29,550.45,shipped
O0368,C329,2024-09-01,925.01,completed
O0369,C327,2024-07-20,591.63,cancelled
O0370,C322,2024-01-28,732.94,shipped
O0371,C401,2024-06-18,431.12,processing
O0372,C465,2024-05-08,604.64,shipped
O0373,C393,2024-10-09,126.88,processing
O0374,C265,2024-11-12,445.13,pending
O0375,C260,2024-05-13,477.79,processing
O0376,C499,2024-03-17,738.1,cancelled
O0377,C204,2024-11-27,501.74,cancelled
O0378,C186,2024-10-14,583.05,cancelled
O0379,C282,2024-12-06,255.54,cancelled
O0380,C266,2024-01-19,200.61,cancelled
O0381,C364,2024-09-14,187.71,shipped
O0382,C338,2024-04-25,317.81,processing
O0383,C173,2024-01-25,425.93,shipped
O0384,C255,2024-10-06,574.28,shipped
O0385,C492,2024-10-30,229.89,completed
O0386,C272,2024-01-31,539.82,processing
O0387,C381,2024-07-18,72.59,cancelled
O0388,C411,2024-02-11,528.45,completed
O0389,C339,2024-04-16,554.68,processing
O0390,C109,2024-09-01,579.25,processing
O0391,C241,2024-06-06,647.1,shipped
O0392,C231,2024-04-21,960.45,processing
O0393,C124,2024-02-23,840.23,pending
O0394,C463,2024-12-28,148.65,processing
O0395,C300,2024-07-19,881.78,completed
O0396,C339,2024-08-11,529.12,shipped
O0397,C131,2024-10-17,948.15,pending
O0398,C112,2024-11-27,956.33,processing
O0399,C193,2024-05-30,978.77,pending
O0400,C432,2024-10-08,500.41,cancelled
O0401,C390,2024-01-27,254.76,shipped
O0402,C225,2024-10-14,526.67,processing
O0403,C195,2024-03-16,83.78,shipped
O0404,C177,2024-01-04,737.21,cancelled
O0405,C112,2024-02-13,948.36,completed
O0406,C186,2024-07-18,448.23,cancelled
O0407,C341,2024-11-29,763.78,pending
O0408,C178,2024-10-04,488.78,completed
O0409,C455,2024-03-12,480.85,shipped
O0410,C268,2024-11-09,963.18,processing
O0411,C462,2024-10-12,614.07,cancelled
O0412,C167,2024-07-13,899.41,completed
O0413,C250,2024-05-11,488.57,completed
O0414,C308,2024-12-24,113.63,cancelled
O0415,C330,2024-08-13,746.42,processing
O0416,C291,2024-03-23,131.65,pending
O0417,C175,2024-08-22,514.47,completed
O0418,C419,2024-01-18,592.17,completed
O0419,C297,2024-11-10,854.12,cancelled
O0420,C152,2024-03-23,171.62,pending
O0421,C181,2024-07-26,52.78,completed
O0422,C324,2024-10-03,533.51,completed
O0423,C182,2024-12-22,418.83,processing
O0424,C394,2024-03-30,468.23,pending
O0425,C379,2024-12-27,109.43,completed
O0426,C337,2024-02-25,289.69,shipped
O0427,C342,2024-08-05,639.59,processing
O0428,C108,2024-11-02,95.52,shipped
O0429,C459,2024-11-29,78.31,pending
O0430,C140,2024-12-02,223.19,pending
O0431,C285,2024-02-23,413.87,completed
O0432,C157,2024-12-24,656.34,cancelled
O0433,C205,2024-06-27,789.57,processing
O0434,C414,2024-08-26,700.29,completed
O0435,C349,2024-09-09,978.56,pending
O0436,C486,2024-03-11,631.33,completed
O0437,C350,2024-06-25,863.26,cancelled
O0438,C122,2024-11-10,486.59,pending
O0439,C466,2024-10-23,558.65,cancelled
O0440,C443,2024-10-28,139.8,pending
O0441,C284,2024-09-25,165.2,shipped
O0442,C294,2024-04-10,385.64,processing
O0443,C334,2024-11-02,124.01,cancelled
O0444,C248,2024-08-08,52.47,pending
O0445,C403,2024-03-27,754.27,pending
O0446,C402,2024-12-25,393.93,shipped
O0447,C373,2024-01-24,469.32,cancelled
O0448,C378,2024-07-17,34.98,pending
O0449,C153,2024-10-26,858.69,shipped
O0450,C124,2024-04-14,233.0,shipped
O0451,C236,2024-09-02,400.71,processing
O0452,C246,2024-11-21,358.48,shipped
O0453,C275,2024-02-28,425.06,processing
O0454,C340,2024-03-10,952.7,cancelled
O0455,C378,2024-03-13,507.72,pending
O0456,C390,2024-03-19,257.99,completed
O0457,C330,2024-10-11,288.09,cancelled
O0458,C476,2024-12-21,735.32,completed
O0459,C500,2024-10-07,306.71,completed
O0460,C208,2024-05-23,875.38,completed
O0461,C470,2024-05-22,644.94,processing
O0462,C354,2024-02-23,292.33,completed
O0463,C248,2024-12-10,82.39,cancelled
O0464,C105,2024-02-12,131.68,shipped
O0465,C195,2024-10-23,747.29,completed
O0466,C228,2024-12-18,859.16,cancelled
O0467,C450,2024-12-20,772.19,pending
O0468,C241,2024-01-19,788.31,cancelled
O0469,C314,2024-03-04,344.35,pending
O0470,C477,2024-05-31,571.04,shipped
O0471,C201,2024-05-31,797.88,pending
O0472,C153,2024-08-08,256.6,pending
O0473,C349,2024-02-06,167.99,processing
O0474,C328,2024-06-11,612.46,shipped
O0475,C223,2024-01-29,362.66,pending
O0476,C128,2024-01-22,609.57,completed
O0477,C469,2024-10-04,969.15,completed
O0478,C413,2024-05-30,924.79,shipped
O0479,C373,2024-07-03,358.25,pending
O0480,C297,2024-03-27,585.23,processing
O0481,C452,2024-07-03,192.54,processing
O0482,C424,2024-06-26,859.7,pending
O0483,C424,2024-05-05,669.45,cancelled
O0484,C246,2024-10-01,328.74,pending
O0485,C207,2024-11-09,746.21,shipped
O0486,C374,2024-12-04,217.28,completed
O0487,C384,2024-08-29,425.9,cancelled
O0488,C201,2024-03-17,445.84,cancelled
O0489,C338,2024-03-13,126.6,cancelled
O0490,C162,2024-05-19,299.36,completed
O0491,C434,2024-12-30,603.05,processing
O0492,C171,2024-07-19,205.05,completed
O0493,C431,2024-07-22,812.33,processing
O0494,C488,2024-09-17,68.5,shipped
O0495,C221,2024-01-21,77.94,cancelled
O0496,C229,2024-10-08,899.35,completed
O0497,C158,2024-05-27,12.41,cancelled
O0498,C370,2024-08-07,424.5,shipped
O0499,C146,2024-10-28,307.51,processing
O0500,C489,2024-11-24,425.13,completed
O0501,C113,2024-05-14,100.63,processing
O0502,C305,2024-04-08,96.74,cancelled
O0503,C380,2024-11-09,334.66,shipped
O0504,C310,2024-03-26,132.47,shipped
O0505,C157,2024-10-24,855.28,shipped
O0506,C450,2024-11-06,158.53,cancelled
O0507,C451,2024-04-08,333.81,processing
O0508,C439,2024-05-20,778.4,processing
O0509,C429,2024-05-06,687.64,processing
O0510,C186,2024-03-21,613.85,shipped
O0511,C186,2024-10-27,60.36,completed
O0512,C482,2024-05-12,270.43,pending
O0513,C482,2024-03-27,401.67,shipped
O0514,C374,2024-06-08,418.17,pending
O0515,C189,2024-07-24,392.18,pending
O0516,C478,2024-06-03,218.77,pending
O0517,C453,2024-07-03,606.76,cancelled
O0518,C426,2024-08-02,245.34,pending
O0519,C127,2024-12-18,491.07,pending
O0520,C368,2024-09-06,304.8,processing
O0521,C159,2024-01-23,57.03,processing
O0522,C207,2024-12-16,662.28,processing
O0523,C435,2024-05-12,333.22,processing
O0524,C464,2024-09-19,465.45,shipped
O0525,C142,2024-06-22,630.51,cancelled
O0526,C308,2024-06-09,645.69,completed
O0527,C308,2024-08-09,725.05,shipped
O0528,C190,2024-06-09,794.78,processing
O0529,C295,2024-09-26,864.46,completed
O0530,C275,2024-11-08,301.21,cancelled
O0531,C302,2024-01-29,973.19,shipped
O0532,C162,2024-06-28,91.46,shipped
O0533,C300,2024-05-07,781.81,pending
O0534,C138,2024-03-24,936.22,processing
O0535,C467,2024-06-14,662.75,pending
O0536,C453,2024-03-10,148.5,shipped
O0537,C493,2024-04-17,466.83,processing
O0538,C388,2024-06-03,735.59,processing
O0539,C368,2024-08-02,904.39,shipped
O0540,C451,2024-11-06,732.15,pending
O0541,C205,2024-09-07,682.72,pending
O0542,C415,2024-09-25,291.66,pending
O0543,C412,2024-01-01,507.99,cancelled
O0544,C371,2024-09-01,334.36,shipped
O0545,C318,2024-10-24,616.99,pending
O0546,C235,2024-06-07,895.34,processing
O0547,C292,2024-12-04,334.17,processing
O0548,C449,2024-05-15,458.4,cancelled
O0549,C250,2024-03-04,238.23,pending
O0550,C336,2024-03-10,158.5,completed
O0551,C120,2024-12-10,143.63,cancelled
O0552,C118,2024-05-08,710.93,completed
O0553,C263,2024-10-08,706.27,completed
O0554,C366,2024-01-14,955.69,processing
O0555,C353,2024-05-22,245.3,completed
O0556,C215,2024-08-30,554.31,cancelled
O0557,C307,2024-09-08,614.75,cancelled
O0558,C215,2024-09-26,361.34,processing
O0559,C167,2024-10-10,223.86,processing
O0560,C325,2024-02-03,869.47,pending
O0561,C118,2024-11-30,459.67,pending
O0562,C218,2024-10-20,941.54,processing
O0563,C311,2024-05-09,100.25,shipped
O0564,C497,2024-08-24,378.45,processing
O0565,C328,2024-11-23,877.37,completed
O0566,C204,2024-05-14,148.49,shipped
O0567,C225,2024-08-17,825.72,shipped
O0568,C285,2024-09-07,173.23,completed
O0569,C265,2024-11-13,26.49,completed
O0570,C149,2024-08-29,28.75,cancelled
O0571,C200,2024-09-21,494.28,completed
O0572,C498,2024-04-03,527.08,completed
O0573,C359,2024-05-29,158.19,completed
O0574,C351,2024-07-21,225.78,shipped
O0575,C148,2024-11-30,674.46,cancelled
O0576,C491,2024-03-19,838.6,pending
O0577,C396,2024-04-29,171.79,processing
O0578,C290,2024-05-14,758.28,processing
O0579,C406,2024-09-22,313.67,shipped
O0580,C368,2024-12-03,384.12,processing
O0581,C306,2024-03-29,143.56,completed
O0582,C149,2024-06-29,432.7,pending
O0583,C200,2024-02-11,270.18,completed
O0584,C325,2024-04-21,416.4,pending
O0585,C256,2024-02-05,576.1,completed
O0586,C102,2024-10-12,637.16,cancelled
O0587,C384,2024-05-25,719.73,cancelled
O0588,C340,2024-03-07,716.16,processing
O0589,C486,2024-07-11,148.4,completed
O0590,C405,2024-09-16,769.96,pending
O0591,C104,2024-09-24,588.12,shipped
O0592,C317,2024-08-09,284.07,shipped
O0593,C296,2024-11-28,234.53,processing
O0594,C189,2024-10-19,383.69,completed
O0595,C217,2024-04-09,37.24,pending
O0596,C438,2024-09-12,150.68,processing
O0597,C180,2024-04-04,247.63,completed
O0598,C424,2024-05-21,322.22,processing
O0599,C421,2024-06-23,477.65,completed
O0600,C202,2024-04-16,261.55,processing
O0601,C243,2024-04-25,75.24,cancelled
O0602,C453,2024-10-17,375.21,completed
O0603,C113,2024-03-18,484.82,cancelled
O0604,C200,2024-10-04,766.18,completed
O0605,C335,2024-04-18,422.45,shipped
O0606,C335,2024-11-12,530.49,cancelled
O0607,C302,2024-08-18,269.92,shipped
O0608,C469,2024-04-05,165.57,processing
O0609,C284,2024-08-25,670.39,pending
O0610,C244,2024-03-12,496.74,completed
O0611,C444,2024-11-26,463.89,cancelled
O0612,C378,2024-12-04,897.43,pending
O0613,C249,2024-12-03,100.55,processing
O0614,C270,2024-11-20,977.54,completed
O0615,C316,2024-05-05,86.52,completed
O0616,C435,2024-10-01,675.92,cancelled
O0617,C168,2024-11-03,311.68,shipped
O0618,C430,2024-05-07,849.66,pending
O0619,C266,2024-11-11,965.93,completed
O0620,C340,2024-08-03,292.33,processing
O0621,C223,2024-05-04,723.56,shipped
O0622,C260,2024-04-12,160.77,completed
O0623,C336,2024-11-20,70.99,processing
O0624,C323,2024-01-31,873.75,pending
O0625,C301,2024-06-11,120.9,pending
O0626,C185,2024-11-30,246.16,pending
O0627,C425,2024-11-18,893.12,shipped
O0628,C384,2024-10-03,558.34,shipped
O0629,C420,2024-12-13,117.28,cancelled
O0630,C395,2024-08-04,60.65,shipped
O0631,C319,2024-01-19,986.17,completed
O0632,C385,2024-11-16,567.17,completed
O0633,C366,2024-12-14,846.59,shipped
O0634,C423,2024-04-29,228.67,processing
O0635,C273,2024-11-12,857.68,cancelled
O0636,C383,2024-08-03,228.94,completed
O0637,C408,2024-03-14,216.76,completed
O0638,C260,2024-01-29,945.41,completed
O0639,C470,2024-02-25,928.5,processing
O0640,C253,2024-05-31,261.67,shipped
O0641,C333,2024-11-07,889.25,pending
O0642,C164,2024-03-20,811.69,pending
O0643,C381,2024-10-10,145.35,pending
O0644,C182,2024-06-22,609.29,shipped
O0645,C291,2024-05-05,940.77,pending
